source_genesymbol	sign	target_genesymbol
CALM1	-1	TRPC1
CALM2	-1	TRPC1
CAV1	1	TRPC1
DRD2	1	TRPC1
MDFI	-1	TRPC1
MARCKS	-1	TRPC1
GRM1	1	TRPC1
STIM1	1	TRPC1
TRPC3	1	TRPC1
TRPC1	1	TRPC4
TRPC4	1	TRPC1
TRPC1	1	TRPC5
TRPC5	1	TRPC1
TRPC1	-1	TRPC6
TRPC1	1	TRPV4
TRPV4	1	TRPC1
TRPC1	-1	TRPV6
CALM3	-1	TRPC3
CALM1	-1	TRPC3
CALM2	-1	TRPC3
CASR	1	TRPC3
HOMER1	1	TRPC3
ITPR1	1	TRPC3
ITPR3	1	TRPC3
ASPH	1	TRPC3
PRKG1	-1	TRPC3
RNF24	-1	TRPC3
PKD2	1	TRPC3
WNK4	-1	TRPC3
CABP1	-1	TRPC5
NCS1	1	TRPC5
TRPC5	-1	TRPC6
CALM3	1	TRPC6
CALM1	1	TRPC6
CALM2	1	TRPC6
FYN	1	TRPC6
MX1	1	TRPC6
PRKG1	-1	TRPC6
RNF24	-1	TRPC6
SNF8	1	TRPC6
PRKG1	1	TRPC7
CALM3	1	TRPV1
CALM1	1	TRPV1
CALM2	1	TRPV1
CNR1	-1	TRPV1
FAF1	-1	TRPV1
GABARAP	1	TRPV1
KIF13B	1	TRPV1
EGFR	1	TRPV3
CALM3	1	TRPV4
CALM1	1	TRPV4
